"","EXPID","PEAKID","YEAR","SEASON","SEASON_FACTOR","HOST","HOST_FACTOR","ROUTE1","ROUTE2","ROUTE3","ROUTE4","NATION","LEADERS","SPONSOR","SUCCESS1","SUCCESS2","SUCCESS3","SUCCESS4","ASCENT1","ASCENT2","ASCENT3","ASCENT4","CLAIMED","DISPUTED","COUNTRIES","APPROACH","BCDATE","SMTDATE","SMTTIME","SMTDAYS","TOTDAYS","TERMDATE","TERMREASON","TERMREASON_FACTOR","TERMNOTE","HIGHPOINT","TRAVERSE","SKI","PARAPENTE","CAMPS","ROPE","TOTMEMBERS","SMTMEMBERS","MDEATHS","TOTHIRED","SMTHIRED","HDEATHS","NOHIRED","O2USED","O2NONE","O2CLIMB","O2DESCENT","O2SLEEP","O2MEDICAL","O2TAKEN","O2UNKWN","OTHERSMTS","CAMPSITES","ROUTEMEMO","ACCIDENTS","ACHIEVMENT","AGENCY","COMRTE","STDRTE","PRIMRTE","PRIMMEM","PRIMREF","PRIMID","CHKSUM"
"1653","EVER14142","EVER",2014,1,"Spring",1,"Nepal","S Col-SE Ridge",NA,NA,NA,"India","Umesh Zirpe","Giripremi Everest 2014",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,2014-04-11,2014-04-15,NA,4,14,2014-04-25,14,"Other","Abandoned at 5600m due to Sherpa strike",5600,FALSE,FALSE,FALSE,0,0,1,0,0,2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(11/04,5350m),xxx(15/04,5600m)","171694",NA,NA,"Peak Promotion",TRUE,TRUE,FALSE,FALSE,FALSE,NA,2463232
"1654","EVER14128","EVER",2014,1,"Spring",2,"China","N Col-NE Ridge",NA,NA,NA,"Germany","Juergen Greher","Amical Alpin Everest Expedition 2014",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,2014-05-14,2014-05-25,NA,11,14,2014-05-28,4,"Bad weather (storms, high winds)","Abandoned at 8500m due to too much wind",8500,FALSE,FALSE,FALSE,3,0,2,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Attempted Xixabangma (reached 7400m on 7 May, too cold and windy)","BC(14/05,5300m),ABC(18/05,6400m),C1(22/52,7000m),C2(23/05,7600m),C3(24/05,8300m),xxx(25/05,8500m)","171705",NA,NA,"Thamserku Trekking",TRUE,TRUE,FALSE,FALSE,FALSE,NA,2463272
"1655","EVER14129","EVER",2014,1,"Spring",2,"China","N Col-NE Ridge",NA,NA,NA,"Switzerland","Kari Kobler","Kobler & Partner Everest Expedition 2014",TRUE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Austria, France, Germany, Norway, Poland","Kodari->Nyalam->Tingri",2014-04-15,2014-05-25,"0630",40,43,2014-05-28,1,"Success (main peak)",NA,8849,FALSE,FALSE,FALSE,3,0,11,8,0,14,11,0,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,NA,"BC(15/04,5300m),ABC(21/04,6400m),C1(25/04,7000m),C2(23/05,7800m),C3(24/05,8300m),Smt(25/05)","171720",NA,NA,"Active Holiday Nepal Treks",TRUE,TRUE,FALSE,FALSE,FALSE,NA,2463272
"1656","EVER14125","EVER",2014,1,"Spring",1,"Nepal","S Col-SE Ridge",NA,NA,NA,"UK","Tim Calder","Calder Everest South Spring 2014",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,2014-04-14,2014-04-14,NA,0,13,2014-04-27,14,"Other","Abandoned at 5350m due to Sherpa strike",5350,FALSE,FALSE,FALSE,0,0,2,0,0,2,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(14/04,5350m),xxx","171739",NA,NA,"Himalayan Guides",TRUE,TRUE,FALSE,FALSE,FALSE,NA,2463231
"1657","EVER14132","EVER",2014,1,"Spring",1,"Nepal","S Col-SE Ridge",NA,NA,NA,"Netherlands","Arnold Coster","Arnold Coster Expeditions Everest 2014",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Germany, Mauritius, Sweden","Pangboche",2014-04-19,2014-04-19,NA,0,6,2014-04-25,14,"Other","Abandoned at 5350m due to Sherpa strike",5350,FALSE,FALSE,FALSE,0,0,6,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"BC(19/04,5350m),xxx","84545",NA,NA,"Seven Summit Treks",TRUE,TRUE,FALSE,FALSE,FALSE,NA,2463236
"1658","EVER14133","EVER",2014,1,"Spring",1,"Nepal","S Col-SE Ridge",NA,NA,NA,"Japan","Yachiyo Suzuki","Seven Summit Treks Everest Expedition 2014",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"China, Pakistan, Romania","Pangboche",2014-04-18,2014-04-18,NA,0,9,2014-04-27,14,"Other","Abandoned at 5350m due to Sherpa strike",5350,FALSE,FALSE,FALSE,0,0,6,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(18/04,5350m),xxx","171750",NA,NA,"Seven Summit Treks",TRUE,TRUE,FALSE,FALSE,FALSE,NA,2463235
"1659","EVER14156","EVER",2014,1,"Spring",1,"Nepal","S Col-SE Ridge",NA,NA,NA,"Japan","Eiko Funahashi","Japanese Everest South Expedition 2014",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,NA,2014-04-23,2014-04-23,NA,0,5,2014-04-28,14,"Other","Abandoned at 5350m due to Sherpa strike",5350,FALSE,FALSE,FALSE,0,0,1,0,0,3,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(23/04,5350m),xxx","171757",NA,NA,"Nombu Trekking",TRUE,TRUE,FALSE,FALSE,FALSE,NA,2463240
"1660","EVER14118","EVER",2014,1,"Spring",1,"Nepal","S Col-SE Ridge",NA,NA,NA,"USA","Damian Benegas","Benegas Brothers Everest Expedition 2014",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Canada, Germany, Guatemala, USA","Pangboche",2014-04-11,2014-04-17,NA,6,14,2014-04-25,6,"Accident (death or serious injury)","Abandoned at 5800m due to fatal avalanche",5800,FALSE,FALSE,FALSE,0,0,5,0,0,5,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(11/04,5350m),xxx(17/04,5800m)","171760",NA,NA,"High Altitude Dreams",TRUE,TRUE,FALSE,FALSE,FALSE,NA,2463234
"1661","EVER14103","EVER",2014,1,"Spring",1,"Nepal","S Col-SE Ridge",NA,NA,NA,"USA","Melissa Arnot","Arnot Everest Expedition 2014",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,"Nepal","Pangboche",2014-04-13,2014-04-18,NA,5,11,2014-04-24,6,"Accident (death or serious injury)","Abandoned at 5800m due to fatal avalanche",5800,FALSE,FALSE,FALSE,0,0,2,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(13/04,5350m),xxx(18/04,5800m)","171771",NA,NA,"Asian Trekking",TRUE,TRUE,FALSE,FALSE,FALSE,NA,2463235
"1662","EVER14126","EVER",2014,1,"Spring",1,"Nepal","S Col-SE Ridge",NA,NA,NA,"UK","Tim Mosedale","Tim Mosedale's Everest Expedition 2014",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,"Pangboche",2014-04-19,2014-04-19,NA,0,7,2014-04-26,14,"Other","Abandoned at 5350m due to Sherpa strike",5350,FALSE,FALSE,FALSE,0,0,5,0,0,5,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(19/04,5350m),xxx","171793",NA,NA,"Himalayan Guides",TRUE,TRUE,FALSE,FALSE,FALSE,NA,2463236
"1663","EVER14149","EVER",2014,1,"Spring",1,"Nepal","S Col-SE Ridge",NA,NA,NA,"Germany","David Goettler","Everest Germany Spring 2014",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,"Cho La->Gokyo->Island Peak",NA,NA,NA,0,0,NA,11,"Did not reach base camp","Abandoned at 5350m due to Sherpa strike",0,FALSE,FALSE,FALSE,0,0,1,0,0,0,0,0,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"Summited Island Peak on 24 April",NA,"171818",NA,NA,"Shangri-La Nepal Treks",TRUE,TRUE,FALSE,FALSE,FALSE,NA,6469
"1664","EVER14145","EVER",2014,1,"Spring",1,"Nepal","S Col-SE Ridge",NA,NA,NA,"Iran","Alireza Behpour","Everest South Iran Spring 2014",FALSE,FALSE,FALSE,FALSE,NA,NA,NA,NA,FALSE,FALSE,NA,"Pangboche",2014-04-18,2014-04-18,NA,0,12,2014-04-30,14,"Other","Abandoned at 5350m due to Sherpa strike",5350,FALSE,FALSE,FALSE,0,0,1,0,0,1,0,0,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,NA,"BC(18/04,5350m),xxx","171822",NA,NA,"Prestige Adventure",TRUE,TRUE,FALSE,FALSE,FALSE,NA,2463235
